Max,Mean,Min,StandardDev,AvgDev
782.361816,765.880448,752.870483,5.815123,4.509228
782.214172,763.807994,749.763977,8.540423,7.104077
782.125977,765.436548,749.007996,9.170286,7.866371
787.564575,767.901276,745.373047,8.715674,7.353738
784.036987,766.415941,747.343323,9.273557,7.839587
785.868286,764.861092,743.259033,9.775673,8.20638
787.457275,764.806369,742.264771,11.725925,10.415478
785.743591,765.014751,748.273315,10.41429,8.917605
784.03186,764.969196,744.089355,10.639834,9.138749
782.627014,768.644294,752.575562,7.52609,6.348205
784.696106,767.512404,750.770935,9.46997,8.048027
782.019165,765.986153,747.798767,8.866073,7.769445
783.600647,768.726901,752.549683,8.356143,6.982245
780.468445,765.416493,749.761292,7.709463,6.30791
786.997437,765.602707,742.346252,12.426274,10.472672
781.410278,762.908566,744.667053,9.192771,7.951135
781.538208,764.150326,743.322266,8.852307,7.567093
782.888245,765.986913,751.790527,7.398349,6.018427
785.24707,766.945708,749.713257,9.550107,8.273367
784.434814,768.080227,749.786621,8.659227,7.397754
782.636597,766.058271,749.786621,8.585763,7.535033
778.129822,762.562463,746.549377,8.450006,7.050087
786.481384,765.151595,749.947327,8.525671,7.251255
779.959595,762.874782,748.107605,8.324642,6.986969
779.64801,764.829361,750.307251,7.261436,6.253496
781.753784,762.71941,748.046814,7.545351,6.272757
792.925598,766.295074,737.538452,16.662421,15.007845
796.448364,767.250804,734.927185,18.090623,15.881257
797.273499,767.429438,737.773682,18.678101,16.839941
794.942749,766.621954,738.165283,17.151749,15.144711
799.313477,767.429855,738.165283,17.787188,15.663252
802.297974,768.244343,734.292847,16.757564,14.631993
793.14624,765.302937,735.244873,16.287449,14.319469
791.700684,764.399136,738.868042,15.392865,13.609463
788.412354,764.963766,740.304016,13.838208,12.192042
791.238892,766.943845,743.016174,13.432869,11.668541
792.962158,766.186471,741.286743,14.323231,12.713337
790.299927,765.730637,744.898621,14.215528,12.872549
788.168152,765.614736,746.631775,10.936784,9.388378
801.229675,769.319383,735.523621,17.779575,15.776641
810.398682,767.85879,723.961304,25.382437,22.524118
818.702637,768.664702,725.01239,27.703359,24.700957
812.261047,769.503876,728.778442,25.700102,22.922152
808.758301,768.289056,724.851013,23.516013,20.877393
795.538818,765.671789,734.001343,18.74945,16.970613
797.983704,762.539401,735.104736,18.437605,16.446974
791.968445,764.784318,738.155151,16.622187,14.45238
