Max,Mean,Min,StandardDev,AvgDev
656.208069,648.468146,639.302734,3.823202,3.262259
656.811218,650.176977,642.328552,3.434855,2.66455
663.901367,651.793066,643.616333,3.785761,3.016458
657.724121,651.96956,642.65387,3.268985,2.559874
662.74884,654.052294,645.938049,3.31009,2.668001
666.376038,654.436005,646.679199,3.915548,3.043365
665.015808,654.399141,645.334778,4.182266,3.328913
663.213379,655.006709,647.170776,4.052693,3.406063
662.12384,653.2654,644.364807,3.859623,3.034749
665.468994,656.850619,647.82251,3.47963,2.664647
661.170166,655.876242,644.30426,3.423799,2.795612
663.844849,654.511872,640.410828,4.924072,3.957107
663.681396,652.718269,643.475708,3.671622,2.712328
661.740906,652.491055,644.559509,4.410568,3.760809
664.941345,655.479202,648.947632,3.313019,2.680179
662.233337,654.026793,646.098267,3.519595,2.748063
661.782471,652.504622,644.131226,3.767613,2.967335
662.683167,654.173024,645.598938,4.462923,3.75102
663.936768,652.685938,644.156799,4.475845,3.666354
661.102844,653.157338,644.741028,3.849919,3.205192
665.033813,652.297079,645.031006,3.921844,3.077443
656.961182,650.46503,640.881409,3.633776,2.967811
658.022034,651.113621,639.38562,3.687631,2.856792
661.570862,653.595967,643.096436,4.258502,3.360023
666.295715,653.256645,644.629333,4.273088,3.414938
663.047485,656.012293,648.604675,3.24624,2.614169
664.085083,655.639926,644.895325,3.729271,2.997525
659.62262,652.271772,637.721741,4.023867,3.049259
667.026978,655.726106,642.057617,4.387158,3.383286
665.057129,655.198502,644.519958,4.218597,3.417275
662.650757,653.690252,644.091614,4.312539,3.644705
660.749573,653.158002,645.155029,3.731012,3.053522
663.363403,655.702703,644.476501,4.158686,3.179974
662.94043,654.913733,645.009277,3.771176,3.025406
660.990173,653.357176,645.038757,3.850212,3.084768
665.147339,653.957765,641.787354,4.536738,3.464121
663.917175,654.972962,645.571045,4.640252,3.91094
660.22876,651.256952,642.720764,3.17007,2.410549
666.514038,653.972996,644.184753,4.029459,3.03815
664.935364,655.474863,645.931091,4.192892,3.470543
661.888977,651.979731,643.256531,4.013735,3.118477
659.440674,648.534537,639.529541,3.606062,2.870563
662.989441,650.817267,643.553406,4.165516,3.338632
659.665039,652.484976,644.405151,3.494621,2.959908
660.851746,652.545199,644.032593,3.548671,2.769178
656.558472,650.02532,641.060059,3.951755,3.342447
660.642883,651.676309,641.040588,4.306797,3.324172
661.196655,654.21667,641.617493,4.099041,3.218994
664.386169,654.482588,645.303833,3.450958,2.739535
661.341797,652.540812,645.264282,3.492635,2.770767
655.527283,647.34289,638.863831,3.790186,3.105465
655.9375,648.740092,638.340027,3.832347,3.021461
659.225281,650.146045,637.656677,4.095531,3.335115
661.329712,648.603736,642.085693,4.144492,3.403855
657.47168,648.40502,638.811401,4.243019,3.456874
655.581421,648.523044,632.763,4.180613,3.333358
657.914124,646.328586,635.133057,4.786333,3.869541
659.373169,645.251917,636.975647,4.465013,3.603352
656.419067,647.443295,636.85553,3.888415,3.185619
660.153748,647.412671,638.34314,4.341709,3.382921
655.623352,647.361223,640.473267,3.294974,2.673285
653.891418,646.371994,636.981934,4.065615,3.248834
656.753357,646.220776,635.80188,4.366048,3.454093
655.431152,646.651223,641.205872,3.861605,3.349715
655.62793,645.460516,638.469238,3.875848,3.151526
660.791931,648.209943,637.109863,4.060703,3.024122
656.933044,646.795974,634.807068,4.569196,3.665346
655.148865,646.149275,636.611328,4.184201,3.309167
655.977905,646.393284,636.135986,4.07017,3.393566
660.851746,646.998901,638.023499,4.226743,3.274197
662.633362,649.069722,634.928345,5.303754,4.104586
656.611755,648.190184,638.903748,4.442877,3.839323
655.125916,646.793267,636.576782,4.08576,3.215054
656.873657,647.843649,639.895325,4.111309,3.331483
658.522583,649.243199,637.411194,4.05449,3.205818
659.567261,652.146585,641.899536,3.956156,3.280171
660.364319,651.498131,643.812073,3.759724,3.076708
657.809265,648.202666,637.535889,4.5669,3.787496
657.61615,648.435093,639.73822,4.363924,3.529747
659.485413,651.019376,643.839294,3.951138,3.208148
659.910583,650.656279,641.657227,4.273511,3.593696
660.309021,652.270355,643.237122,3.322795,2.64795
663.72583,651.51364,640.753479,4.96989,3.939087
656.64679,647.965365,639.60614,4.06064,3.411634
655.037415,645.860234,632.943909,4.548393,3.590812
660.959167,650.605672,640.041382,3.944156,3.023304
656.006104,646.709672,635.849854,4.200749,3.30861
660.595947,649.969708,641.591797,3.653992,2.879432
658.031128,649.687674,638.715088,3.932298,3.204311
661.740906,650.539734,637.349182,4.420547,3.500336
655.869629,648.29502,639.850769,4.175043,3.455212
656.569092,647.47079,637.160889,3.98069,3.260744
659.33374,649.576531,635.297546,4.565798,3.407385
661.403076,652.278138,644.975952,3.240899,2.639246
659.225281,649.284857,642.730103,3.573127,2.898928
654.557861,649.389609,639.710876,3.107988,2.49553
657.543152,648.781966,638.467712,4.248657,3.280641
658.207397,649.669825,641.620605,3.665919,3.016851
654.638855,646.93583,638.618835,3.920261,3.306937
658.492981,646.998983,637.932617,4.71975,3.910268
656.933044,645.665259,635.586365,4.371865,3.396358
656.208801,648.339198,638.088562,4.369339,3.689427
657.520325,649.863563,642.086426,3.723334,2.981211
658.949158,650.22168,641.505249,3.726911,2.959094
665.390137,652.478359,643.472595,4.286506,3.439657
661.904846,652.614922,645.883911,3.623598,2.846163
658.593201,651.186716,640.428772,3.713656,2.947329
662.499084,648.655127,635.336914,4.50697,3.52996
658.281067,648.556331,637.471558,3.772177,2.8957
657.916382,649.835916,640.046082,3.791888,3.024594
660.067444,649.780208,642.618103,3.730154,3.064745
657.183411,647.199728,635.838806,4.779749,3.66645
659.088013,651.047102,641.753845,4.148956,3.251538
653.769043,648.347877,641.032776,3.22298,2.614566
654.590698,647.098762,639.356689,3.161651,2.53548
657.47699,647.247598,634.295654,4.894583,3.976889
658.808777,650.347729,641.72345,4.298274,3.673211
657.909546,649.582011,642.677185,3.61958,2.989958
657.387268,649.226127,639.125977,4.017838,3.286582
657.885986,649.121401,637.295044,4.024121,3.184915
654.602905,646.768839,637.380554,4.006171,3.145226
655.567688,646.398499,637.735046,3.967783,3.285014
658.372253,650.844309,642.863098,3.737108,3.116406
662.820496,653.418953,644.826355,3.875444,3.268316
660.838074,651.627549,641.494324,3.948099,3.086554
661.834595,652.006474,641.93457,4.434496,3.553127
665.582458,653.628429,645.571045,4.214743,3.153653
661.447632,651.879134,641.81073,4.827876,3.957174
657.325623,649.647392,639.302734,4.012345,3.212932
656.549316,648.339282,639.269104,3.686326,2.848165
657.578918,648.232666,637.502136,3.93878,3.218476
656.550842,647.370862,640.107788,3.696034,3.151208
656.589661,649.651881,643.013245,3.189173,2.600538
657.531006,649.107371,636.270386,4.191788,3.523786
658.253723,647.132555,637.786011,4.317035,3.41657
659.522583,647.895855,637.48645,4.871082,4.006372
