Max,Mean,Min,StandardDev,AvgDev
953.585876,766.184121,582.356445,118.794947,105.673239
952.15863,768.079518,588.999146,120.63984,108.310976
953.964905,768.144346,589.291931,119.939583,107.704678
948.522034,768.934387,588.317932,120.843488,109.409665
954.191833,771.873499,593.957092,119.373832,106.764426
952.271484,771.251023,592.993225,119.419398,107.114552
945.817078,768.261658,586.342896,121.491404,109.804605
956.265625,768.333705,584.730713,120.176012,108.053283
953.051392,769.386129,595.115967,121.998649,109.660249
952.431641,766.477218,591.177612,118.829152,105.66096
966.632812,767.901541,588.142822,119.309362,106.938657
956.616943,766.276402,582.207886,121.214561,109.651974
964.423645,770.346435,585.027344,119.952933,108.046332
959.35553,770.234101,584.829041,120.574731,107.714028
953.457397,771.21128,585.363159,119.118774,107.303296
952.701416,768.729237,590.285522,119.470079,106.99446
949.393494,767.008938,590.504883,120.969964,109.807748
950.764954,767.175077,587.814575,120.003643,107.475897
953.131165,769.479431,590.493835,120.195477,108.084571
961.285583,770.736169,586.621704,120.312765,108.238692
961.285583,769.550933,588.018677,119.129124,106.840429
951.552917,768.92994,588.507446,121.318262,109.565695
958.594788,768.555163,589.429382,119.836633,107.666436
960.079712,769.494437,589.274109,118.61462,105.897137
954.706787,768.079736,589.274109,121.979232,109.543257
957.148376,770.553851,581.973389,119.989676,107.196512
953.235535,767.561626,589.576965,120.637431,108.255916
949.822083,767.42157,593.943604,121.894478,109.446442
955.146606,768.640019,596.263367,119.428517,106.512914
954.053467,763.72504,580.001709,121.050923,108.496129
962.077454,765.735344,581.609863,120.062178,108.514474
954.905762,765.54729,582.307495,119.374845,107.278527
955.544861,770.721057,587.15332,121.888552,109.631161
954.590515,768.469952,582.925354,119.73931,107.45115
957.39856,769.736916,583.869873,119.401746,106.954733
957.159363,766.915152,585.088867,121.848125,110.060259
952.607483,767.327139,581.916687,118.130686,105.327316
960.121338,772.42989,593.784485,120.224018,108.144908
954.041382,770.881019,590.567505,120.666363,108.502023
956.272949,767.466836,581.118774,119.471067,107.184307
953.8349,766.043326,586.365051,121.375779,109.14649
956.811401,767.308851,587.98468,119.339883,106.610554
953.060852,769.561012,586.196228,120.835652,108.7584
956.725159,769.96184,588.158142,121.595594,109.386977
950.507751,768.626218,591.067688,120.005403,107.964256
947.122498,769.570719,588.784363,120.44399,109.012868
953.65033,770.14975,594.185974,119.073155,107.003325
953.65033,769.751278,589.221497,121.809671,109.698669
953.282227,772.056955,591.342529,120.478274,108.019261
969.849976,771.958236,589.074707,119.621059,106.74123
959.500916,770.176192,578.489441,121.954295,110.47023
965.8349,771.343687,586.850891,119.752385,107.639774
953.880493,768.538684,590.051697,120.175169,108.198589
960.283813,769.874139,585.447693,120.705206,108.347769
960.2099,772.256308,587.079224,118.813991,106.646544
960.350464,772.184547,590.627625,120.455517,108.588128
957.916992,771.276989,590.709717,119.863543,107.671849
950.459351,771.331858,592.950256,121.028598,108.760661
951.069397,768.489328,592.021973,119.566021,107.522673
951.315918,767.126892,590.210999,118.960502,107.182479
957.749939,772.393426,595.370483,120.430876,108.587239
952.648926,770.348879,587.47937,118.753588,106.14446
958.781006,768.256732,585.19397,121.1083,108.42097
955.873413,767.966379,592.29303,121.150582,108.941034
955.096863,767.826928,588.191284,118.491074,106.317093
963.021301,768.723812,582.63623,122.283742,109.855647
955.421387,770.227736,582.947693,120.988034,108.292216
951.979492,766.866188,590.032227,118.740797,106.852838
960.950562,767.672566,586.183411,121.782775,110.143668
955.404602,767.934934,583.44751,119.137177,106.841357
955.013062,765.443901,585.860901,119.869809,107.194458
942.647888,767.586033,590.095764,120.748441,109.343722
954.166626,771.47322,593.302612,119.771901,107.212777
956.952454,770.780099,590.000854,119.979866,107.78215
949.316589,769.838761,590.982239,120.212166,109.031508
952.576477,768.31127,583.833862,120.138694,107.489529
951.769409,769.123636,593.488831,119.295902,107.432885
950.821777,766.327283,590.427795,121.408601,109.169955
951.294373,769.397054,592.314941,117.949155,106.398682
956.059631,771.457375,593.802185,120.179136,107.783098
958.956177,771.178503,583.607727,120.370663,108.227747
954.25885,766.22786,581.752502,120.061578,107.338046
960.163025,767.576557,583.27179,119.644706,106.783412
962.445312,766.277806,584.442444,120.932823,107.979006
955.063354,767.432074,580.51355,121.072119,108.835586
953.69281,767.227369,583.968323,118.19975,106.325204
966.259277,769.622174,584.370605,120.661178,108.687891
953.865295,767.672642,580.008606,120.492067,108.174464
955.495178,768.770167,589.855896,119.271555,106.985471
947.572693,765.227044,589.319946,122.096264,110.380406
958.305298,769.674894,584.56311,118.883675,106.101211
957.593323,767.31392,583.687439,121.094487,108.663368
945.876343,765.570217,592.575745,119.908452,108.104148
949.561462,766.558646,582.644836,120.266422,108.236007
948.112305,766.9606,587.082642,120.370197,108.749457
956.313782,767.906691,594.936157,118.811971,106.277553
948.933594,766.854519,582.255981,120.086108,107.211313
957.43512,769.31538,587.485291,120.175426,108.437481
958.308899,769.260168,590.512512,119.21263,107.003982
949.271851,767.708067,589.375916,121.991735,110.287699
950.467773,768.392788,587.950684,119.099203,106.422184
956.510864,765.547417,580.42572,120.957644,107.816653
949.477722,763.970038,580.184448,120.714035,108.311178
960.829346,768.036696,580.298218,120.18877,108.320896
951.622803,766.737216,586.642151,120.871963,108.962061
948.255737,766.425089,588.389343,118.570836,106.319615
951.008911,765.666604,580.51355,120.311322,107.914215
961.743225,766.318763,589.177368,121.419291,109.169638
953.034119,767.479275,587.650391,120.399029,107.813314
950.209961,766.56964,587.188232,121.226169,109.2643
963.969421,767.716203,587.27594,120.346601,108.23126
952.554993,768.92037,590.210999,119.475235,107.351886
961.025513,767.516134,588.881165,121.603236,110.041684
950.752869,767.120865,582.383057,118.810303,106.138236
958.728821,769.030526,585.329834,119.503361,106.992788
949.422485,768.841785,583.330078,121.346335,109.360849
954.416077,764.207453,578.550781,119.984523,107.142906
946.282715,765.013627,586.352295,120.657202,108.771227
953.323669,765.031176,587.588318,119.627212,106.731636
957.618896,764.218183,581.4198,118.487505,106.193325
957.618896,763.560922,585.106812,121.954892,110.076687
952.90448,767.679155,592.598511,120.723175,108.557212
949.354492,766.018614,583.384949,118.66926,106.397969
949.708374,766.660228,590.994934,119.62786,108.089895
951.002075,766.188344,586.196228,119.351214,107.392474
948.994202,762.24024,578.916199,120.236753,107.928663
952.454224,760.431872,582.475769,122.294241,110.067023
949.389832,764.204687,583.809875,119.262471,106.460621
947.638672,764.543191,590.595459,119.996606,107.149935
951.44574,764.719252,586.388123,121.950449,110.164579
955.737915,766.632653,585.106812,119.126577,107.316869
950.935303,763.317364,571.379883,120.029209,107.041383
949.682556,766.244521,584.755493,120.735096,108.550771
947.966797,762.203053,585.644958,119.704413,106.594898
941.817932,764.199819,584.673401,120.777539,107.972725
953.738953,766.712395,593.393616,120.607976,108.289285
955.93512,765.428115,593.203186,119.276751,107.025388
939.117126,763.283526,591.148865,121.493398,109.783059
946.671509,763.82994,588.466675,119.38002,106.48754
951.435242,765.97009,589.115417,121.191891,109.104505
949.829956,767.946627,586.724792,121.244015,108.80103
943.810364,764.874029,586.106628,118.30445,105.453524
949.28656,762.223925,582.767517,121.512667,109.316471
944.258972,764.006368,585.564697,119.023962,106.017128
